CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,PRO_OCUP_C,PROM_OCUP,OCUPVIVPAR,VPH_TV,VPH_RADIO,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,area
"1901900010327012","19","019","0001","0327","012",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0327","12","57","27","30","0","0","0","57","27","30","55","26","29","49","21","28","47","20","27","45","20","25","4","3",*,"4","3",*,"5","3",*,*,*,*,*,"0",*,"4",*,*,"10","11","6","5","111.11","10","41","6","18","17","17","16","17",*,"0","0.8","3.35","57","16","8","9","13","16","12","7","5",*,"0","3","0","25892"
"1901900010312001","19","019","0001","0312","001",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0312","1","108","51","57","3",*,*,"105","49","56","103","48","55","83","39","44","77","36","41","74","34","40","5",*,"4","17","9","8","19","10","9","6","3","3","3",*,*,"10","3","7","25","14","7","7","111.76","31","68","9","22","22","21","21","22","0","0","1.17","4.91","108","22","18","7","12","20","15","12","4","0","0","7","0","2627"
"1901900010577056","19","019","0001","0577","056",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0577","56","87","39","48","5","3",*,"82","36","46","77","33","44","72","32","40","70","31","39","67","29","38","6","3","3","4",*,"3","5",*,"4",*,*,*,"3",*,*,"17","5","12","23","11","6","5","123.08","17","62","8","28","26","25","23","26",*,"0","0.57","3.35","87","25","13","25","17","25","26","19","22",*,"0","0","0","3095"
"1901900010026044","19","019","0001","0026","044",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","44","61","32","29",*,*,*,"58","30","28","58","30","28","49","26","23","48","26","22","48","26","22","4",*,"3","5","3",*,"5",*,"3",*,"0",*,"0","0","0","5","3",*,"17","12","7","5","90.63","12","44","4","20","19","17","16","19",*,"0","0.63","3.21","61","18","14","16","18","18","18","15","13",*,*,*,*,"2173"
"1901900010026043","19","019","0001","0026","043",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","43","44","26","18",*,*,"0","43","25","18","43","25","18","38","21","17","37","20","17","36","19","17","0","0","0","5","4",*,"5","4",*,*,*,"0",*,*,"0","4",*,*,"11","8","4","4","69.23","7","36",*,"16","15","13","12","15",*,"0","0.73","2.93","44","14","7","10","12","14","12","11","7",*,*,"3",*,"2339"
"1901900010026042","19","019","0001","0026","042",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","42","46","26","20",*,*,"0","45","25","20","45","25","20","42","23","19","41","22","19","40","22","18","0","0","0","3",*,*,"4","3",*,*,*,"0",*,"0",*,"4",*,*,"11","13","8","5","76.92","5","32","9","15","15","12","12","15","0","0","0.7","3.07","46","15","8","8","13","15","12","6","4","0","0",*,"0","2533"
"1901900010026041","19","019","0001","0026","041",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","41","1",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"1","1",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"11857"
"1901900010026040","19","019","0001","0026","040",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","40","26","15","11",*,"0",*,"25","15","10","25","15","10","21","12","9","20","11","9","19","10","9",*,*,"0","3",*,*,"3","3","0",*,*,"0",*,*,"0","3",*,*,"8",*,*,*,"73.33","6","19",*,"9","9","9","9","9","0","0","0.76","2.89","26","9","8",*,*,"9","5","4","3","0","0","4","0","1202"
"1901900010026039","19","019","0001","0026","039",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","39","25","15","10",*,"0",*,"24","15","9","23","14","9","19","12","7","19","12","7","18","11","7","3","3","0",*,"0",*,*,"0",*,"0","0","0",*,*,"0",*,*,"0","7","5","5","0","66.67","6","14","5","10","8","10","8","8",*,"0","0.93","3.13","25","7","3",*,*,"6","5",*,*,"0",*,"3","0","1168"
"1901900010026038","19","019","0001","0026","038",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","38","37","22","15","3",*,*,"34","20","14","34","20","14","31","18","13","28","17","11","26","16","10",*,*,"0",*,*,*,"5",*,"3","3",*,*,*,*,*,"5","4",*,"12","5","3",*,"68.18","9","23","5","10","10","10","10","10","0","0","1","3.7","37","9","5","4","3","9","5",*,"0",*,*,"4","0","1274"
