SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA
9335.83936623,EA,ESPACIO ABIERTO,PARQUE Y CANCHAS,"229",POLIDEPORTIVO REVOLUCIÓN,COLONIA REVOUCION 4º PLATINO ORIENTE Y RODOLFO GAYTAN,K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
884.538113632,EA,ESPACIO ABIERTO,CAMELLON,"230",,,,,,,
9.05591593446,EA,ESPACIO ABIERTO,CAMELLON,"231",,,,,,,
213.541670812,EA,ESPACIO ABIERTO,CAMELLON,"232",,,,,,,
80.0113744089,EA,ESPACIO ABIERTO,CAMELLON,"233",,,,,,,
49.8742929068,EA,ESPACIO ABIERTO,ROTONDA,"234",,,,,,,
295.951068422,EA,ESPACIO ABIERTO,PARQUE,"235",,,,,,,
37171.1531695,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"236",,,,,,,
1713.35707013,EA,ESPACIO ABIERTO,PARQUE,"237",,,,,,,
221.933839671,EA,ESPACIO ABIERTO,PARQUE,"238",,,,,,,
112.985339244,EA,ESPACIO ABIERTO,PARQUE,"239",PARQUE LINEAL LOS PINOS,"COL. LOS PINOS , CALLE SOFÍA TRAMO ART, 27 A TERMINAL SOFIA LADO ORIENTE",K1,LINEAL,ÁREA PÚBLICA,ABIERTO,parque de bolsillo
204.276802989,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"240",,,,,,,
138.477346826,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"241",,,,,,,
114.916356935,HU,HABITACIONAL UNIFAMILIAR,HABITACIONAL UNIFAMILIAR,"242",,,,,,,
36.3260672358,HU,HABITACIONAL UNIFAMILIAR,HABITACIONAL UNIFAMILIAR,"243",,,,,,,
630.511616997,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"244",JESÚS M. GARZA EN MORONES PRIETO,COLONIA JESUS M. GARZA Y AV. MORONES PRIETO,K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de bolsillo
445.309356097,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"245",,,,,,,
1328.44599344,EA,ESPACIO ABIERTO,PARQUE,"246",JESUS M. GARZA,"COLONIA JESUS M. GARZA ,  AV. MORONES PRIETO Y GRAL. FRANCISCO VILLA",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de bolsillo
9.33068684145,EA,ESPACIO ABIERTO,PARQUE,"247",,,,,,,
36.2797627586,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"248",,,,,,,
509.004560393,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"249",,,,,,,
924.006660801,EA,ESPACIO ABIERTO,PARQUE,"250",LUÍS ECHEVERRÍA EN IGLESIA,"COLONIA FRANCISCO VILLA , CALLE FRANCISCO VILLA",K1,LINEAL,ÁREA PÚBLICA,ABIERTO,parque de bolsillo
296.312639344,EA,ESPACIO ABIERTO,PARQUE,"251",,,,,,,
444.999920388,EA,ESPACIO ABIERTO,PARQUE,"252",,,,,,,
2782.85987439,EA,ESPACIO ABIERTO,PARQUE,"253",LUCIO BLANCO 1er SECTOR,COLONIA LUCIO BLANCO 1er SECTOR JIMENEZ Y MARIA CANTU TREVIÑO,K1,BARRIAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
324.402375494,EA,ESPACIO ABIERTO,PARQUE,"254",,,,,,,
616.806498304,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"255",,,,,,,
104.240815185,EA,ESPACIO ABIERTO,PARQUE,"256",,,,,,,
227.852965068,EA,ESPACIO ABIERTO,CAMELLON,"257",,,,,,,
1422.96800175,EA,ESPACIO ABIERTO,PARQUE,"258",,,,,,,
133.340337415,EA,ESPACIO ABIERTO,PARQUE,"259",,,,,,,
3020.83847446,EA,ESPACIO ABIERTO,PARQUE,"260",PARQUE LINEAL PLAN DE AYALA,"COLONIA PLAN DE AYALA , CALLE PALMAS TRAMO JIMENEZ - LIMITE CON MPIO. SANTA CATARINA",K1,LINEAL,ÁREA PÚBLICA,ABIERTO,parque lineal
161.451556571,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"261",,,,,,,
40.6453608538,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"262",,,,,,,
46.2595593549,HU,HABITACIONAL UNIFAMILIAR,HABITACIONAL UNIFAMILIAR,"263",,,,,,,
22.665506411,HU,HABITACIONAL UNIFAMILIAR,HABITACIONAL UNIFAMILIAR,"264",,,,,,,
5667.14216319,EA,ESPACIO ABIERTO,PARQUE,"265",,,,,,,
57.8791536322,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"266",,,,,,,
4748.94315016,EA,ESPACIO ABIERTO,PARQUE,"267",,,,,,,
58681.1096206,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"268",,,,,,,
384.777490167,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"269",,,,,,,
